Bars, Internal forces, Load comb.: ULS
ID	x	N	Ty'	Tz'	Mt	My'	Mz'	Comb.
[-]	[m]	[kN]	[kN]	[kN]	[kNm]	[kNm]	[kNm]	[-]
B.13.1	0.000	-26.665	0.000	48.462	-0.000	-38.220	0.000	1 ULS
B.13.1	0.375	-26.665	0.000	42.748	-0.000	-21.118	0.000	1 ULS
B.13.1	0.750	-26.665	0.000	37.033	-0.000	-6.159	0.000	1 ULS
B.13.1	1.125	-26.665	0.000	31.318	-0.000	6.656	0.000	1 ULS
B.13.1	1.500	-26.665	0.000	25.604	-0.000	17.329	0.000	1 ULS
B.13.1	1.500	-26.665	0.000	25.604	-0.000	17.329	0.000	1 ULS
B.13.1	1.875	-26.665	0.000	19.889	-0.000	25.859	0.000	1 ULS
B.13.1	2.250	-26.665	0.000	14.174	-0.000	32.246	0.000	1 ULS
B.13.1	2.625	-26.665	0.000	8.460	-0.000	36.490	0.000	1 ULS
B.13.1	3.000	-26.665	0.000	2.745	-0.000	38.591	0.000	1 ULS
B.13.1	3.000	-26.665	0.000	2.745	-0.000	38.591	0.000	1 ULS
B.13.1	3.375	-26.665	0.000	-2.970	-0.000	38.549	0.000	1 ULS
B.13.1	3.750	-26.665	0.000	-8.684	-0.000	36.363	0.000	1 ULS
B.13.1	4.125	-26.665	0.000	-14.399	-0.000	32.035	0.000	1 ULS
B.13.1	4.500	-26.665	0.000	-20.114	-0.000	25.564	0.000	1 ULS
B.13.1	4.500	-26.665	0.000	-20.114	-0.000	25.564	0.000	1 ULS
B.13.1	4.875	-26.665	0.000	-25.829	-0.000	16.950	0.000	1 ULS
B.13.1	5.250	-26.665	0.000	-31.543	-0.000	6.193	0.000	1 ULS
B.13.1	5.625	-26.665	0.000	-37.258	-0.000	-6.708	0.000	1 ULS
B.13.1	6.000	-26.665	0.000	-42.973	-0.000	-21.751	0.000	1 ULS
B.14.1	0.000	-55.843	0.000	-9.493	-0.000	23.332	0.000	1 ULS
B.14.1	0.395	-55.753	0.000	-9.523	-0.000	19.574	0.000	1 ULS
B.14.1	0.791	-55.663	0.000	-9.553	-0.000	15.804	0.000	1 ULS
B.14.1	1.186	-55.573	0.000	-9.583	-0.000	12.022	0.000	1 ULS
B.14.1	1.581	-55.484	0.000	-9.613	-0.000	8.228	0.000	1 ULS
B.14.1	1.581	-55.484	0.000	-9.613	-0.000	8.228	0.000	1 ULS
B.14.1	1.976	-55.394	0.000	-9.643	-0.000	4.422	0.000	1 ULS
B.14.1	2.372	-55.304	0.000	-9.672	-0.000	0.605	0.000	1 ULS
B.14.1	2.767	-55.215	0.000	-9.702	-0.000	-3.225	0.000	1 ULS
B.14.1	3.162	-55.125	0.000	-9.732	-0.000	-7.066	0.000	1 ULS
B.14.1	3.162	-55.125	0.000	-9.732	-0.000	-7.066	0.000	1 ULS
B.14.1	3.558	-55.035	0.000	-9.762	-0.000	-10.919	0.000	1 ULS
B.14.1	3.953	-54.946	0.000	-9.792	-0.000	-14.784	0.000	1 ULS
B.14.1	4.348	-54.856	0.000	-9.822	-0.000	-18.660	0.000	1 ULS
B.14.1	4.743	-54.766	0.000	-9.852	-0.000	-22.548	0.000	1 ULS
B.14.1	4.743	-54.766	0.000	-9.852	-0.000	-22.548	0.000	1 ULS
B.14.1	5.139	-54.677	0.000	-9.882	-0.000	-26.449	0.000	1 ULS
B.14.1	5.534	-54.587	0.000	-9.912	-0.000	-30.361	0.000	1 ULS
B.14.1	5.929	-54.497	0.000	-9.942	-0.000	-34.285	0.000	1 ULS
B.14.1	6.325	-54.408	0.000	-9.971	-0.000	-38.220	0.000	1 ULS
B.15.1	0.000	-48.263	0.000	-4.114	-0.000	5.781	0.000	1 ULS
B.15.1	0.395	-48.173	0.000	-4.144	-0.000	4.149	0.000	1 ULS
B.15.1	0.791	-48.083	0.000	-4.174	-0.000	2.505	0.000	1 ULS
B.15.1	1.186	-47.994	0.000	-4.204	-0.000	0.849	0.000	1 ULS
B.15.1	1.581	-47.904	0.000	-4.234	-0.000	-0.818	0.000	1 ULS
B.15.1	1.581	-47.904	0.000	-4.234	-0.000	-0.818	0.000	1 ULS
B.15.1	1.976	-47.814	0.000	-4.263	-0.000	-2.498	0.000	1 ULS
B.15.1	2.372	-47.725	0.000	-4.293	-0.000	-4.189	0.000	1 ULS
B.15.1	2.767	-47.635	0.000	-4.323	-0.000	-5.892	0.000	1 ULS
B.15.1	3.162	-47.545	0.000	-4.353	-0.000	-7.607	0.000	1 ULS
B.15.1	3.162	-47.545	0.000	-4.353	-0.000	-7.607	0.000	1 ULS
B.15.1	3.558	-47.456	0.000	-4.383	-0.000	-9.333	0.000	1 ULS
B.15.1	3.953	-47.366	0.000	-4.413	-0.000	-11.072	0.000	1 ULS
B.15.1	4.348	-47.276	0.000	-4.443	-0.000	-12.822	0.000	1 ULS
B.15.1	4.743	-47.187	0.000	-4.473	-0.000	-14.584	0.000	1 ULS
B.15.1	4.743	-47.187	0.000	-4.473	-0.000	-14.584	0.000	1 ULS
B.15.1	5.139	-47.097	0.000	-4.503	-0.000	-16.358	0.000	1 ULS
B.15.1	5.534	-47.007	0.000	-4.533	-0.000	-18.144	0.000	1 ULS
B.15.1	5.929	-46.918	0.000	-4.562	-0.000	-19.941	0.000	1 ULS
B.15.1	6.325	-46.828	0.000	-4.592	-0.000	-21.751	0.000	1 ULS

